105.28,47.59
110.99,104.45
79.47,112.47
6.45,55.25
142.80,122.82
68.95,106.76
146.51,30.10
38.20,101.10
15.20,44.40
125.20,115.34
58.98,80.47
42.07,110.03
137.32,66.13
47.08,12.04
99.87,87.99
84.51,56.67
75.13,108.69
112.39,41.75
120.40,46.99
122.54,102.19
120.17,63.63
4.46,143.21
20.19,125.33
19.52,3.85
147.27,79.29
118.06,44.29
30.60,110.76
3.36,63.44
86.95,30.51
42.30,72.47
85.66,140.45
102.87,138.50
28.58,142.00
145.74,42.90
29.80,19.34
124.53,57.68
133.98,123.28
140.88,78.19
45.33,122.01
59.30,118.85
98.00,42.50
34.81,35.93
36.51,7.41
57.07,130.57
30.11,113.31
137.10,61.71
21.70,149.08
95.97,20.97
115.33,14.57
31.67,35.21
34.62,85.93
10.04,88.69
133.96,38.36
114.95,41.05
79.09,51.62
89.80,126.75
114.95,82.59
136.34,97.01
8.32,48.08
9.80,135.66
149.08,48.69
116.89,110.15
20.53,25.63
71.43,83.63
115.37,19.89
21.71,40.17
136.52,140.29
103.64,68.20
75.50,42.40
29.69,72.06
83.18,123.93
91.19,0.86
82.58,11.96
79.86,58.22
101.73,145.22
85.54,92.97
32.97,9.42
43.09,10.47
6.36,49.58
37.51,110.38
93.12,22.85
116.45,63.77
0.17,55.88
85.54,76.79
96.80,74.48
27.18,67.92
137.87,66.28
133.21,119.95
145.07,40.50
87.12,103.28
31.08,135.12
105.60,70.24
126.66,51.43
9.18,146.28
7.42,109.70
96.12,26.02
87.95,13.46
2.56,54.64
137.79,91.93
38.88,33.84
40.36,54.96
4.95,132.98
3.34,47.18
72.74,52.38
66.90,73.66
64.83,11.18
1.94,125.41
38.05,89.93
139.44,125.98
52.92,121.14
87.54,79.11
26.35,3.33
17.59,141.11
123.08,104.96
14.85,8.75
28.96,101.07
1.10,28.52
124.41,116.53
127.97,32.01
57.02,77.26
